experiment_id;seed;instance;n;m;s;best_known_result;max_generations;population_size;encoding_method;selection_method;mutation_method;crossover_method;parent_selection_method;mutation_probability;crossover_probability;elite_size;offspring_size;total_time;best_solution_found;best_solution_hash;elite_fitness;elite_hash;diff;gap
64;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;tournament_2;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.5;8.343072891;-1.553807915;1172615647;-1.553807915120402,-1.553807915120402,-1.553807915120402,-1.553807915120402,-1.553807915120402,-1.553807915120402,-1.553807915120402,-1.553807915120402,-1.5655157367175934,-1.5655157367175934,-1.5655157367175934,-1.5660438351307864,-1.5660438351307864,-1.5660438351307864,-1.5660438351307864;117,261,564,711,726,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;1.3776E-06;0.00%
65;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;tournament_2;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;9.4440732;-1.564227037;-945513633;-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896,-1.5642270370493896;-945513633,-945513633,-945513633,-945513633,-945513633,-945513633,-945513633,-945513633,-945513633,-945513633,-945513633,-945513633,-945513633,-945513633,-945513633;0.0104205;0.67%
77;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;ranking;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;5.537400961;-1.584610237;-1003628642;-1.584610236811722,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632,-1.5977845631124632;-100,362,864,211,448,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.030803699;1.98%
34;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;tournament_2;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.5;4.214771509;-1.592233037;1340119886;-1.592233036553815,-1.592233036553815,-1.592233036553815,-1.592233036553815,-1.592233036553815,-1.592233036553815,-1.592233036553815,-1.592233036553815;13,401,198,861,340,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.038426499;2.47%
32;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;tournament_2;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.7;5.570748091;-1.599253399;-999431266;-1.5992533994087614,-1.5992533994087614,-1.6212416623215213,-1.625062342785163,-1.6282967194878852,-1.6282967194878855,-1.6339685813430893,-1.6359600773044336;-999431266,-999431266,-999512162,-991632482,-999513185,-865295458,-991124578,-999496802;0.045446862;2.92%
61;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;tournament_2;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.5;9.425001621;-1.604054322;-834852322;-1.6040543217633785,-1.6373427616634428,-1.6397313465238392,-1.6397328680817442,-1.6397328680817442,-1.6499259547924128,-1.6499272311200543,-1.6499272311200543,-1.6499272311200543,-1.6499272311200543,-1.6499272311200543,-1.6808199864994802,-1.6846176189018351,-1.7079813265201866,-1.7192900259557802;-834852322,-969069922,-814470502,-814466918,-814466918,-298509674,-298510154,-298510154,-298510154,-298510154,-298510154,-947549378,-298509642,-816498534,-966452578;0.050247784;3.23%
71;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;roulette;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;5.609115839;-1.604055755;-820168674;-1.6040557553313537,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116,-1.621955489891116;-820168674,-283301290,-283301290,-283301290,-283301290,-283301290,-283301290,-283301290,-283301290,-283301290,-283301290,-283301290,-283301290,-283301290,-283301290;0.050249218;3.23%
78;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;byclass_0.1_0.1;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.3;3.930722713;-1.606785302;1470401407;-1.6067853023204657,-1.6195594126414148,-1.7329052262604656,-1.7610905300735922,-1.7633658467589137,-1.7674145695512675,-1.7710687951275654,-1.7785534629480757,-1.7930467415597977,-1.8357108855106758,-1.8374023231155845,-1.8374023231155845,-1.8419751488680989,-1.8428056062787654,-1.8433553343120574;1470401407,1206160251,1441041278,1470401406,1464110063,2005211927,1462551423,1474562943,1206160231,1600823738,1206160255,1206160255,-437370073,1197771631,-865825794;0.052978765;3.41%
89;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;fullyrandom;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;5.525318861;-1.607887804;1393531742;-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657,-1.6078878039367657;139,353,174,213,935,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.054081266;3.48%
47;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;ranking;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;2.787436962;-1.608391457;-754468706;-1.6083914572759566,-1.620681016346513,-1.620681016346513,-1.620681016346513,-1.620681016346513,-1.620681016346513,-1.620681016346513,-1.620681016346513;-754468706,-291141058,-291141058,-291141058,-291141058,-291141058,-291141058,-291141058;0.05458492;3.51%
38;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;roulette;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.7;3.715754747;-1.612295329;1574899774;-1.6122953291705029,-1.6122953291705029,-1.6258662769399512,-1.6339186918171937,-1.6339186918171937,-1.6339186918171937,-1.6339186918171937,-1.6339186918171937;15,748,997,741,440,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.058488792;3.76%
26;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;30;binary;fullyrandom;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.7;2.188638687;-1.618692009;-553153865;-1.618692008629848,-1.618692008629848,-1.618692008629848,-1.618692008629848,-1.618692008629848;-553153865,-553153865,-553153865,-553153865,-553153865;0.064885471;4.18%
3;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;30;binary;tournament_2;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.3;2.21747613;-1.620695768;-711993833;-1.620695767907586,-1.620695767907586,-1.620695767907586,-1.620695767907586,-1.620695767907586;-711993833,-711993833,-711993833,-711993833,-711993833;0.06688923;4.30%
35;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;tournament_2;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;4.76543498;-1.623720607;1354716702;-1.6237206074748927,-1.6237206074748927,-1.6237206074748927,-1.6237206074748927,-1.6237206074748927,-1.6237206074748927,-1.6237206074748927,-1.6237206074748927;13,547,167,021,354,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.06991407;4.50%
88;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;fullyrandom;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.5;4.406966925;-1.623923711;1581193815;-1.6239237110584046,-1.6329922217240316,-1.6329922217240316,-1.6329922217240316,-1.6443110886848196,-1.6443110886848196,-1.6443110886848196,-1.6443110886848196,-1.6443110886848196,-1.6443110886848196,-1.6443110886848196,-1.6443110886848196,-1.6443110886848196,-1.6443110886848196,-1.6443110886848196;158,119,381,515,811,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.070117174;4.51%
16;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;30;binary;ranking;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.5;1.387439966;-1.625914319;-976256457;-1.6259143186037777,-1.6259143186037777,-1.6259143186037777,-1.6259143186037777,-1.6259143186037777;-976256457,-976256457,-976256457,-976256457,-976256457;0.072107781;4.64%
23;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;30;binary;byclass_0.1_0.1;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;1.699023962;-1.632413165;-856346402;-1.6324131652846747,-1.7528339760714287,-1.7554734752816519,-1.7554734752816519,-1.7554734752816519;-856346402,-856411946,-860538722,-860538722,-860538722;0.078606628;5.06%
48;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;byclass_0.1_0.1;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.3;2.026801109;-1.632495303;-673904082;-1.6324953028069835,-1.658548397948696,-1.6855781901243037,-1.6974482264686943,-1.6974482264686943,-1.6974482264686943,-1.7138482737404044,-1.7263446702349259;-6,739,040,821,473,710,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.078688765;5.06%
2;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;30;binary;tournament_2;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.7;3.34765625;-1.633906641;1397729806;-1.633906640889317,-1.6422007506289482,-1.6560224540322048,-1.6575240348583409,-1.66026570040751;13,977,298,061,473,500,000,000,000,000,000,000,000,000,000,000,000;0.080100103;5.16%
14;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;30;binary;ranking;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.7;2.279158592;-1.63522583;-328367106;-1.6352258301274556,-1.6535389447719175,-1.6644293625117255,-1.6644293625117255,-1.6644293625117255;-328367106,-272266442,-3831002,-3831002,-3831002;0.081419293;5.24%
29;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;30;binary;fullyrandom;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;1.703894138;-1.636893657;-994741793;-1.636893656807395,-1.6466185145299095,-1.6466185145299095,-1.6466185145299095,-1.6466185145299095;-994741793,-868388450,-868388450,-868388450,-868388450;0.083087119;5.35%
63;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;tournament_2;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.3;7.185539007;-1.638200868;1606921046;-1.6382008680132425,-1.6382008680132425,-1.6382008680132425,-1.6616613770308721,-1.6718478439592181,-1.6772127887610493,-1.6881830091446095,-1.6881830091446095,-1.6881830091446095,-1.6881830091446095,-1.6881830091446095,-1.6881830091446095,-1.6881830091446095,-1.6881830091446095,-1.6881830091446095;160,692,104,616,069,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.08439433;5.43%
31;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;50;binary;tournament_2;singlepoint_interchange;misc;ranking;0.2;0.8;0.15;0.5;4.807694912;-1.640335927;1699555031;-1.6403359271989553,-1.7496746530352865,-1.7496746530352865,-1.7496746530352865,-1.7706557748401608,-1.7724057410518999,-1.781173759015076,-1.8067150764102533;1699555031,1695362775,1695362775,1695362775,-336318178,-767927522,2029400474,1703782999;0.08652939;5.57%
82;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;byclass_0.1_0.1;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.5;4.391669273;-1.645807421;-815752786;-1.6458074208831062,-1.6458074208831062,-1.6458074208831062,-1.6602561693415383,-1.6602561693415383,-1.6602561693415383,-1.6651286283180455,-1.6726095360206394,-1.7055534680279223,-1.7055534680279223,-1.7055534680279223,-1.7055534680279223,-1.7055534680279223,-1.7055534680279223,-1.7055534680279223;-815752786,-815752786,-815752786,-815490165,-815490165,-815490165,-815752789,-816998290,-815752789,-815752789,-815752789,-815752789,-815752789,-815752789,-815752789;0.092000883;5.92%
5;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;30;binary;tournament_2;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;2.908365965;-1.648150167;-293795290;-1.6481501673292758,-1.6481501673292758,-1.6481501673292758,-1.6481501673292758,-1.6481501673292758;-293795290,-293795290,-293795290,-293795290,-293795290;0.09434363;6.07%
83;3356;Instance_40_1.mat;40;10;20;-1.553806538;1000;100;binary;byclass_0.1_0.1;singlepoint_interchange;singlepoint;ranking;0.2;0.8;0.15;0.7;5.488479137;-1.651201447;1827508822;-1.6512014470032625,-1.6848803424630816,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196,-1.6895031622478196;182,750,882,212,916,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;0.097394909;6.27%
